id,tag,sentence
1,diminishing ,I’m no expert but  
2,strong ,This is what I see
3,diminishing ,It’s just my opinion  
4,strong,It’s my opinion 
5,diminishing ,Just checking in  
6,strong,Checking in
7,diminishing ,Just seeing how you feel about this 
8,strong, How do you feel about this
9,diminishing ,I just think 
10,strong, I think
11,diminishing ,Does this make sense 
12,strong,Tell me your thoughts
13,diminishing ,Do you get what I’m saying 
14,strong, Is this clear
15,diminishing ,Do you see what I’m saying  
16,strong,Is this clear
17,diminishing ,Am I making sense  
18,strong,Is this clear
19,diminishing ,I actually disagree 
20,strong, I disagree
21,diminishing ,Correct me if I’m wrong  
21,strong,What is your opinion
22,diminishing ,I think I can do that   
23,strong,I can do that
24,diminishing ,I’m hopeless at  
25,strong,I’m learning how to
26,diminishing ,I will try  
27,strong, I will do
28,diminishing ,I’m nervous  
29,strong, I’m excited
30,diminishing ,I hope I can    
31,strong,I’m confident I will 
32,diminishing ,It’s really hard   
33,strong, It’s a welcome challenge
34,diminishing ,I’m not good at 
35,strong, I have yet to learn how
36,diminishing ,Can you please update  
37,strong, Please update
38,diminishing ,I think this is unclear 
39,strong, This is unclear
40,diminishing ,If you don’t mind  
41,strong, Let’s talk about
42,diminishing ,I just wanted to  
43,strong,I want to
44,diminishing ,I hope it is ok to start 
45,strong, Let’s start
46,diminishing ,I may be wrong but  
47,strong,Let’s brainstorm
48,diminishing ,If it’s ok with you  
49,strong,Let’s explore
50,diminishing ,Maybe it’s only me but 
51,strong, How do you see it?
52,diminishing ,I don’t want to bother you but  
53,strong,Do you have time
54,diminishing ,I’m sorry for making you wait  
55,strong,Thank you for waiting
56,diminishing ,My apologies  
57,strong,Thank you for your patience
58,diminishing ,Sorry to intrude  
59,strong,I would like to add to this
60,diminishing ,Sorry to bother you 
61,strong,Thank you for taking the time
62,diminishing ,My bad 
63,strong, I stand corrected
64,diminishing ,"Sorry, what was that?   "
65,strong,Please repeat what you said
66,diminishing ,Sorry about the noise in the background 
67,strong,Thank you for putting up with 
68,diminishing ,Sorry if you didn’t see it 
69,strong,I missed that
70,diminishing ,Sorry I’m eating on video here 
71,strong,Sorry for the inconvinience
72,diminishing ,Sorry about the dog in the background 
73,strong,Sorry if I look tired 
74,diminishing ,"Sorry, I didn’t know "
75,strong, Thank you for the information
76,diminishing,"I'm so sorry, I do apologize."
77,diminishing,"Sorry, I don't mean to butt in."
78,diminishing,"I'm sorry, I've forgotten your name."
79,diminishing,"Sorry, I can't play tennis with u tomorrow."
80,diminishing,I am sorry I must disapprove of your action.
81,diminishing,I'm sorry to be late again.
82,diminishing,"Sorry, I didn't mean to frighten you."
83,diminishing,"Sorry, I do not love you."
84,diminishing,I'm sorry I'm late: My car had a puncture.
85,diminishing, I'm sorry I can't assist you.
86,diminishing,I'm sorry I'm a bit early.
87,diminishing,"I'm sorry, she's tied up at the moment."
88,diminishing,"Sorry, I'm a stranger here, too."
89,diminishing,"I'm sorry, but I'm busy right now."
90,diminishing,I am sorry for what I have done.
91,diminishing,I'm sorry you had a wasted journey.
92,diminishing,"Sorry, I must have dialled the wrong number."
93,diminishing,Would you please do this for me?
94,diminishing,Please could I leave early today?
95,diminishing,Please wait for a minute
96,diminishing,"Will you call your dog off, please?"
97,diminishing,"Between us, please always remember me."
98,diminishing,"Could you wait for me, please?"
99,diminishing,I must apologise for my outrageous behaviour.
100,diminishing,I apologise for any embarrassment this may have caused.
101,diminishing,I must apologise that if I offended you I didn't mean to.
102,diminishing,I apologise for any inconvenience caused.
103,diminishing, I apologise if I did not make myself clear.
104,diminishing, I apologise for the delay in arriving.
105,diminishing,I apologise for the delay in replying to you.
106,diminishing, Would it bother you if I smoked?
107,diminishing, I don't want to bother you.
108,diminishing,"I hate to bother you, but can I ask you a question?"
109,diminishing, Will it bother you if I turn the television on?
110,diminishing,"I'm sorry to bother you, but could you tell me the way to the station?"
111,diminishing,Please repeat what you said.
112,diminishing," Please repeat what you said, I didn't quite catch on."
113,diminishing,"Can you  please repeat the phone number slowly, sir."
114,diminishing,I'm embarrassed of myself.
115,diminishing,"When I began to sing, he laughed and made me embarrassed."
116,diminishing, I am embarrassed and I apologise for what I did.
117,diminishing,I'm embarrassed of myself.
118,diminishing,"When I began to sing, he laughed and made me embarrassed."
119,diminishing, I am embarrassed and I apologise for what I did.
120,diminishing,I am sorry for not answering your letter sooner.
121,diminishing,I'm sorry. We are quite full tonight.
